Province,District,Population
Eastern,Bugesera,551103
Eastern,Gatsibo,551164
Eastern,Kayonza,457156
Eastern,Kirehe,460860
Eastern,Ngoma,404048
Eastern,Nyagatare,653861
Eastern,Rwamagana,484953
Kigali,Gasabo,879505
Kigali,Kicukiro,491731
Kigali,Nyarugenge,374319
Northern,Burera,387729
Northern,Gakenke,365292
Northern,Gicumbi,448824
Northern,Musanze,476522
Northern,Rulindo,360144
Western,Karongi,373869
Western,Ngororero,367955
Western,Nyabihu,319047
Western,Nyamasheke,434221
Western,Rubavu,546683
Western,Rusizi,485529
Western,Rutsiro,369180
Southern,Gisagara,397051
Southern,Huye,381900
Southern,Kamonyi,450849
Southern,Muhanga,358433
Southern,Nyamagabe,371501
Southern,Nyanza,365718
Southern,Nyaruguru,318126
Southern,Ruhango,359121
